id,entry_id,title,push_title,category,city,push_type,push_os,push_entire,test_mode,status,insert_time,operator,Receive/Send,Click/Show
1,9e9ea576_gh,Hope Hicks Named White House Communications Director (Report),,Others,,delay,all,False,0,3,2017-08-16 10:37:24,steve,10176/-=-,2813/9958=28.25%
2,6957e144_ke,WhatsApp group admin detained for sharing hate posts,,Others,,delay,all,True,0,3,2017-08-16 10:57:42,steve,269761/-=-,77257/256955=30.07%
3,c3a91fef_tz,11 Easy School Snacks Kids (and Adults) Will Love!,,News_Lifestyle,,delay,all,False,0,0,2017-08-16 13:07:03,steve,-/-=-,-/-=-
4,545e9c20_ke,The 1-Pot Pasta Recipe You'll Make on Repeat From Ina Garten,,News_Lifestyle,,delay,all,True,0,0,2017-08-16 13:07:20,steve,-/-=-,-/-=-
5,f0d18b36_za,Korean Illustrator Captures Love And Intimacy So Well That You Can Almost Feel It,,Others,,delay,all,True,0,0,2017-08-16 13:07:45,steve,-/-=-,-/-=-
6,f0d18b36_ng,Korean Illustrator Captures Love And Intimacy So Well That You Can Almost Feel It,,Others,,delay,all,True,0,0,2017-08-16 13:08:20,steve,-/-=-,-/-=-
7,1c86213b_za,Robert Downey Jr.'s Initial Take on Tony Stark Was Somewhat Insufferable,,News_Entertainment,,delay,all,False,0,3,2017-08-17 12:23:38,steve,629627/-=-,83537/614285=13.6%
8,5eb4e211_gh,Ghana news: Ashanti NPP sets up committee to construct office complex,,News_Politics,,delay,all,False,0,0,2017-08-17 13:29:52,steve,134/-=-,50/153=32.68%
9,5a9d9b63_gh,Politics :  5 suspects killed in counterterrorism operation south of Barcelona van attack,,Crime,,delay,all,False,0,3,2017-08-18 02:42:52,steve,10971/-=-,2281/9660=23.61%
10,5a9d9b63_ng,5 suspects killed in counterterrorism operation south of Barcelona van attack,,Crime,,delay,all,False,0,3,2017-08-18 02:42:58,steve,597814/-=-,107250/554939=19.33%
11,a15b7fa0_gh,Politics :  At least 4 people killed in counterterrorism operation south of Barcelona van attack,,Crime,,delay,all,False,0,0,2017-08-18 02:43:26,steve,29/-=-,5/25=20%
12,5da86525_ke,Several reportedly killed in counterterrorism operation south of Barcelona van attack,,Crime,,delay,all,False,0,3,2017-08-18 02:44:09,steve,326697/-=-,63612/301235=21.12%
13,89a0323f_ng,4 suspects killed in counterterrorism operation south of Barcelona van attack,,Crime,,delay,all,False,0,3,2017-08-18 02:53:05,steve,3284/-=-,603/3192=18.89%
14,89a0323f_ng,4 suspects killed in counterterrorism operation south of Barcelona van attack,,Crime,,delay,all,False,0,3,2017-08-18 02:53:29,steve,480356/-=-,64210/450291=14.26%
15,89a0323f_ng,4 suspects killed in counterterrorism operation south of Barcelona van attack,,Crime,,delay,all,False,0,3,2017-08-18 02:54:52,steve,181001/-=-,43762/173165=25.27%
16,a8a97de1_ke,Nigeria: Lagos Second Least Liveable City in the World - Report,,Others,,delay,all,False,0,3,2017-08-18 06:15:54,steve,1570/-=-,250/1545=16.18%
17,747aee3d_za,Together fighting crime,,Crime,,delay,all,False,0,3,2017-08-18 06:16:39,steve,379734/-=-,44396/372307=11.92%
18,1cc0e0c3_za,Nigeria: Another Nigerian Killed in South Africa,,Others,,delay,all,False,0,3,2017-08-18 06:46:51,steve,667815/-=-,97979/603921=16.22%
19,72fdc51b_za,Robin Thicke's model girlfriend is pregnant!,,News_Entertainment,,delay,all,False,0,3,2017-08-18 06:47:10,steve,153839/-=-,12945/151835=8.526%
20,a8a97de1_ng,Nigeria: Lagos Second Least Liveable City in the World - Report,,Others,,delay,all,False,0,3,2017-08-18 06:47:16,steve,720589/-=-,132782/707256=18.77%
21,f50cc29a_ng,Koeman not satisfied with Everton win over Hajduk Split: We should have had more,,News_Sports,,delay,all,False,0,3,2017-08-18 06:47:44,steve,61072/-=-,10470/60289=17.37%
22,c6149417_ke,Three dead after al Shabaab attack in Lamu,,Others,,delay,all,False,0,3,2017-08-18 06:49:06,steve,339979/-=-,59753/303913=19.66%
23,ebe26ba_gh,Ronaldo and Messi lead shortlist for FIFA men's best player award,,News_Sports,,delay,all,False,0,3,2017-08-18 06:49:11,steve,8588/-=-,1669/7929=21.05%
24,b07da322_za,Men in KFC assault due in court for bail application,,Crime,,delay,all,False,0,3,2017-08-18 08:09:31,steve,104389/-=-,12119/101560=11.93%
25,66e8e9f3_za,"BREAKING NEWS: Residents followed from OR Tambo, robbed in Bassonia",,Crime,,delay,all,False,0,3,2017-08-18 08:10:01,steve,71053/-=-,17831/69108=25.8%
