id,entry_id,title,push_title,category,city,push_type,push_os,push_entire,test_mode,status,insert_time,operator,Receive/Send,Click/Show
18980,a9e591e4_id,Mendagri Tunjuk Nursholeh Jadi Plt Wali Kota Tegal,,Others,,delay,all,False,False,3,2017-09-01 00:15:31,Ai_Heading,4934/36708=13.44%,88/3001=2.932%
18981,ec0c2862_id,"Memanas, ini perbandingan kekuatan militer Korut dan Korsel",,Education,,delay,all,False,False,3,2017-09-01 00:15:31,Ai_Heading,12278/426267=2.88%,544/6956=7.821%
18982,c48a4a38_id,Prancis Memberondong Belanda Empat Gol tanpa Balas,,News_Sports,,delay,all,False,False,3,2017-09-01 00:15:31,Ai_Heading,1578/3774=41.81%,52/1098=4.736%
18983,45b63f1_id,"Gaduh internal KPK, ada kubu-kubuan sampai pelaporan ke polisi",,Crime,,delay,all,False,False,3,2017-09-01 00:15:31,Ai_Heading,7019/38976=18.01%,267/4477=5.964%
18984,c61f93e1_id,"5 Berita Terpopuler, Terkuaknya Nama Asli 10 Selebriti Hingga Kondisi Gadis yang Diperkosa 3 Anggota Keluarganya",,News_Entertainment,,delay,all,False,False,3,2017-09-01 00:15:31,Ai_Heading,24398/43285=56.37%,721/33467=2.154%
18985,e4ca5ed0_id,"4 Bisnis rumahan ini omzetnya di atas gaji bulanan, bisa sampai Rp 90 juta",,Others,,delay,all,False,False,3,2017-09-01 00:15:31,Ai_Heading,4817/16768=28.73%,217/2991=7.255%
18986,2c24e74e_id,Pertemuan penting di Lapas Sukamiskin,,Others,,delay,all,False,False,3,2017-09-01 00:15:31,Ai_Heading,2250/172123=1.307%,48/1515=3.168%
18987,3e0690ad_id,41 Pengembang Tertarik Bangun Hunian di Lokasi TOD MRT,,Crime,,delay,all,False,False,3,2017-09-01 00:15:31,Ai_Heading,6143/48553=12.65%,59/3891=1.516%
18988,355f10d1_id,"Wapres JK jadi Ketua Timses Jokowi, ini kata Gerindra",,News_Politics,,delay,all,False,False,3,2017-09-01 00:29:16,yogic,736197/3019233=24.38%,36156/484420=7.464%
18989,4a21845b_id,"AS tutup Konsulat Rusia, Moskow siap beri reaksi balasan",,News_Politics,,delay,all,False,False,3,2017-09-01 00:30:26,yogic,663582/1703018=38.97%,16918/411229=4.114%
18990,a397d039_id,"Tinggalkan Man City, Bony kembali ke Swansea",,News_Sports,,delay,all,False,False,3,2017-09-01 00:31:37,yogic,607123/1473453=41.2%,10541/462871=2.277%
18991,f2c46b4f_id,Fahri Hamzah minta anggaran Kunker DPR tak dipersoalkan,,News_Politics,,delay,all,False,False,3,2017-09-01 00:32:54,yogic,803406/4008062=20.04%,17330/573793=3.02%
18992,6bbbcf07_id,Presiden Jokowi rayakan Idul Adha di Sukabumi,,News_Politics,Bandung,delay,all,False,False,3,2017-09-01 00:33:18,yogic,10647/29125=36.56%,497/6418=7.744%
18993,a2b0d1df_id,"Heboh aplikasi ""Ayo Poligami"", bagaimana cara kerjanya?",,Technology,,delay,all,False,False,3,2017-09-01 00:35:13,yogic,226393/711192=31.83%,6933/153433=4.519%
18994,f89d5287_id,"7 Potret Kehidupan Para Orang Kantoran di Jepang yang Jarang Kamu Tahu, No 7 Nggak Nyangka Banget!",,Others,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,4540/15498=29.29%,124/2851=4.349%
18995,f201636f_id,Daftar panjang kekerasan di IPDN,,Others,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,942/8098=11.63%,19/718=2.646%
18996,822c2b0c_id,Pengadilan: Pervez Bersalah atas Pembunuhan Benazir Bhutto,,Crime,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,1464/3992=36.67%,30/922=3.254%
18997,f491af69_id,"Rina Nose Punya Trauma Saat Rayakan Idul Adha, Ternyata Ini Lho Penyebabnya",,News_Entertainment,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,1947/145808=1.335%,69/1206=5.721%
18998,1ef507fd_id,"Zaman Pak Harto, Indonesia peringkat 2 SEA Games saja dianggap aib",,Others,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,87274/279169=31.26%,10838/51796=20.92%
18999,74e2eff_id,Sumpah antikorupsi di balai Kota Tegal,,Crime,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,13641/29199=46.72%,296/11349=2.608%
19000,a749a017_id,NAM Air Buka 2 Rute Baru dari Denpasar ke Bima dan Tambolaka,,Travel,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,580/402=144.3%,8/527=1.518%
19001,8182b43f_id,35 Karakter Game of Thrones versi seleb Indonesia ini kocak abis,,News_Entertainment,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,1660/4121=40.28%,27/1097=2.461%
19002,edfadc57_id,"Usai Salat Iduladha, Wapres JK Serahkan Kurban",,Others,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,669/380=176.1%,20/643=3.11%
19003,6bcc140e_id,"4 Fakta Tika Bravani, aktris cantik pemeran Nyai Haji Ahmad Dahlan",,News_Entertainment,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,804/1582=50.82%,19/595=3.193%
19004,dfae38e_id,Kawal Investor dengan Identitas Tunggal,,Others,,delay,all,False,False,3,2017-09-01 00:45:31,Ai_Heading,820/3194=25.67%,14/572=2.448%
19005,66234bdf_id,"Jonru Ginting dilaporkan ke polisi, ini penyebabnya",Berita Top Pagi,Crime,,immediately,all,True,False,3,2017-09-01 01:00:22,yogic,-/-=-,-/-=-
19006,594024c3_id,"Jokowi, menteri hingga anak Soeharto berkurban di Istiqlal",,Religion,"Jakarta,Bekasi,Tangerang",delay,all,False,False,3,2017-09-01 01:01:34,yogic,286053/667387=42.86%,9282/146227=6.348%
19007,4829e529_id,"Kecelakaan saat latihan, Valentino Rossi patah kaki",,News_Sports,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,99151/73528=134.8%,12205/92013=13.26%
19008,395adebb_id,Ngeri! Penduduk Kota di Inggris Ini Berubah Jadi Zombie yang Bergeletakan di Taman dan Jalanan Kota!,,Others,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,1070/2814=38.02%,34/725=4.69%
19009,6a28f452_id,"CUACA JABODETABEK 1 SEPTEMBER : Jakarta Berawan, Bekasi Cerah Berawan",,Crime,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,1142/3543=32.23%,17/693=2.453%
19010,dcfd8402_id,Jokowi-JK Masing-masing Sumbang Seekor Sapi di Istiqlal,,Religion,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,579/608=95.23%,13/499=2.605%
19011,d753f094_id,5 Seleb top Bollywood ini punya syarat tertentu saat bermain film,,News_Entertainment,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,6995/18016=38.83%,180/3740=4.813%
19012,e3c8b88e_id,Dua Jemaah Wafat Pada Hari Pertama Kedatangan di Arafah,,Religion,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,9624/455663=2.112%,429/5856=7.326%
19013,ab0e67_id,5 Restoran Gordon Ramsay terbaik di dunia,,Others,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,734/1394=52.65%,17/605=2.81%
19014,178716ae_id,"Mudik Iduladha, Jalur Pantura di Karawang Padat",,Crime,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,1559/7647=20.39%,23/953=2.413%
19015,42954d75_id,Rossi Kecelakaan Saat Kendarai Sepeda Off-Road,,News_Sports,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,10786/41601=25.93%,415/6778=6.123%
19016,32134fce_id,Cerita Gloria Natapradja soal Kewarganegaraan Ganda,,News_Politics,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,1003/14396=6.967%,19/666=2.853%
19017,cd0b5b4e_id,"Seleksi CPNS Ditutup, Tiga Kota Ini Sumbang Pelamar Terbanyak",,Others,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,698/1584=44.07%,26/541=4.806%
19018,c574f5c_id,Sopir Bus Eka Meninggal Akibat Lemparan Batu,,Others,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,18007/23655=76.12%,207/15890=1.303%
19019,b9e5d5b3_id,Presiden Jokowi Salat Iduladha di Lapangan Merdeka Sukabumi,,Others,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,813/1841=44.16%,15/565=2.655%
19020,67c742b2_id,"Salat di Istiqlal, JK wakili Presiden Jokowi serahkan kurban ke BPMI",,News_Politics,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,1191/2438=48.85%,23/725=3.172%
19021,d5ac190d_id,'11-12' Setnov & Ical pecat kader Golkar yang tak sejalan,,News_Politics,,delay,all,False,False,3,2017-09-01 01:15:32,Ai_Heading,20880/73163=28.54%,530/13152=4.03%
