id,entry_id,title,push_title,category,city,push_type,push_os,push_entire,test_mode,status,insert_time,operator,Receive/Send,Click/Show
53252,2b7bfe65_in,"JIO वालों को आज से मिलेगा ये फायदा, भूल जाओगे पुराना सबकुछ",,Technology,,delay,all,False,0,3,2018-01-01 03:50:50,atharno,-/-=-,-/-=-
53253,b116b532_in,"12.20 पर बंद हुआ WhatsApp, लोग नहीं कह पाए Happy New Year",व्हॉट्स एप हुआ डाउन,Technology,,immediately,all,True,0,3,2018-01-01 03:54:16,atharno,-/-=-,-/-=-
53254,26cc912c_in,"शास्त्री ने विश किया हैप्पी न्यू ईयर, लोग बोले- DJ वाले बाबू मेरा गाना चला दो",,News_Sports.Cricket,,delay,all,False,0,3,2018-01-01 03:55:36,atharno,-/-=-,-/-=-
53270,b9402e41_in,"Bigg Boss 11: Hina Khan wins 'drama queen' award, housemates celebrate New Year",,News_Entertainment.TV,,delay,all,False,0,3,2018-01-01 04:07:32,atharno,-/-=-,-/-=-
53271,cc57e3f5_in,Suhana Khan's traditional avatar is brimming with grace and glamour,,Fashion,,delay,all,False,0,3,2018-01-01 04:10:25,atharno,-/-=-,-/-=-
53272,8c9afe7e_in,"Happy New Year 2018: Wishes, SMS, Facebook Status & WhatsApp Messages for Couples",,News_Lifestyle,,delay,all,False,0,3,2018-01-01 04:12:18,atharno,-/-=-,-/-=-
53273,de75d073_in,WhatsApp experiences brief outage as world brings in New Year,Is Whatsapp down? ,Technology,,immediately,all,True,0,3,2018-01-01 04:29:39,atharno,10/-=-,-/10=-
53279,ffbb393a_in,"2018 का पहला दिन, क्या कहते हैं आपके सितारें, पढ़िए राशिफल",,News_Lifestyle,,delay,all,False,0,3,2018-01-01 04:34:55,atharno,-/-=-,-/-=-
53280,13902444_in,"PHOTOS:बिग बी ने इस अंदाज में किया फैंस को विश, पोती के साथ शेयर की ये तस्वीर",,News_Entertainment.Bollywood,,delay,all,False,0,3,2018-01-01 04:36:07,atharno,-/-=-,-/-=-
53281,3df5043c_in,"18 हजार का फोन खरीदें 10,000 में, इन 10 स्मार्टफोन की कीमत में हुई बड़ी कटौती",,Technology,,delay,all,False,0,3,2018-01-01 04:37:47,atharno,-/-=-,-/-=-
53282,12eb0c00_in,"बिकनी की तस्वीर को लेकर दिशा पटानी ट्रोल, यूजर ने कहा 'कोई इसे ढंग की फिल्म दे दो'",,News_Entertainment.Bollywood,,delay,all,False,0,3,2018-01-01 04:58:08,atharno,-/-=-,-/-=-
53297,8d8da001_in,Delhi fog: Operations at airport suspended as visibility drops below 50m,,Others,Delhi ,delay,all,False,0,3,2018-01-01 05:05:48,atharno,-/-=-,-/-=-
53298,4c4ee21f_in,Man tries to end life after killing girlfriend in Jaipur,,Crime,Jaipur ,delay,all,False,0,3,2018-01-01 05:07:28,atharno,-/-=-,-/-=-
53299,58f4939e_in,Virat & Shikhar's Bhangra Dance On South African Streets Is Too Good: Watch,,News_Sports.Cricket,,delay,all,False,0,3,2018-01-01 05:18:13,atharno,-/-=-,-/-=-
53300,8c97eab2_in,BB11: Priyank Gets Evicted; Shilpa Becomes The Best Entertainer,,News_Entertainment.TV,,delay,all,False,0,3,2018-01-01 05:19:15,atharno,-/-=-,-/-=-
53301,b63acd91_in,#BREAKING: 45 मिनट तक बंद रहने के बाद व्हाट्सएप सर्विस हुई शुरु,,Others ,,delay,all,False,0,3,2018-01-01 05:23:25,atharno,-/-=-,-/-=-
53302,5c0d295b_in,"Airtel ने अपने ग्राहकों को दिया नए साल का सबसे बड़ा तोहफा, JIO वालों को हो जाएगी जलन",,Business,,delay,all,False,0,3,2018-01-01 05:27:35,atharno,-/-=-,-/-=-
53319,6eaf16d9_in,10वीं पास के लिए यहां निकली 6 हजार से ज्यादा पदों पर वैकेंसी,,Education,,delay,all,False,0,3,2018-01-01 05:34:04,atharno,-/-=-,-/-=-
53320,2b9af2e8_in,"पति के दोस्तों ने किया गैंगरेप, घर पहुंची तो मिला एक और धोखा",,Crime,,delay,all,False,0,3,2018-01-01 05:46:39,atharno,-/-=-,-/-=-
53321,4b4d0cb_in,Viral Video- गर्लफ्रेंड पत्रलेखा के साथ 'जुम्मा-चुम्मा' पर कुछ इस तरह थिरकते दिखे राजकुमार राव,,News_Entertainment.Bollywood,,delay,all,False,0,3,2018-01-01 05:47:00,atharno,-/-=-,-/-=-
53322,233a7ada_in,"दिशा पटानी का दिखा बोल्ड लुक, विदेश में मना रहीं Happy New Year, देखें तस्वीरें...",,News_Lifestyle,,delay,all,False,0,3,2018-01-01 05:47:20,atharno,-/-=-,-/-=-
53335,3f7a7196_in,"नए साल पर Jio इन कस्टमर्स को देगी बड़ा झटका, कहीं आप भी तो शामिल नहीं?",,Business,,delay,all,False,0,3,2018-01-01 06:03:23,atharno,-/-=-,-/-=-
53336,453688e7_in,"आज से घर बैठे होगा सिम-आधार लिंक, मिलेंगी ये तीन सुविधाएं",,Others,,delay,all,False,0,3,2018-01-01 06:19:05,atharno,-/-=-,-/-=-
53349,47271c2e_in,See Jacqueline Fernandez's vacation pics will give you travel goals,,Travel,,delay,all,False,0,3,2018-01-01 06:46:41,atharno,-/-=-,-/-=-
53350,8a3c8aec_in,"WhatsApp Goes Down On New Year's Eve, Twitterati Comes Up With Hilarious Reactions",,Others ,,delay,all,False,0,3,2018-01-01 06:47:37,atharno,-/-=-,-/-=-
53351,6b30eff6_in,Bigg Boss 11: OMG! Arshi Khan to re-enter the house with this contestant?,,News_Entertainment.TV,,delay,all,False,0,3,2018-01-01 06:48:41,atharno,-/-=-,-/-=-
53369,363b8600_in,Railways to give discount for late delivery of food in trains,,Others,Jaipur,delay,all,False,0,3,2018-01-01 07:09:38,atharno,-/-=-,-/-=-
53370,e6cd5598_in,"Jio 4G फोन: ऑनलाइन नहीं हो रही है बुकिंग, तो 1500 रुपये देकर यहां से खरीदें ऑफलाइन",,Technology,,delay,all,False,0,3,2018-01-01 07:11:52,atharno,-/-=-,-/-=-
53371,c61ac148_in,Suhana Khan Partying In A Golden Lehenga Looks Like An Absolute Diva – View Pics,,News_Lifestyle,,delay,all,False,0,3,2018-01-01 07:13:13,atharno,-/-=-,-/-=-
53372,d50a6d58_in,Class 10 student among terrorists who attacked CRPF camp in Jammu and Kashmir's Pulwama,,Others_Terrorism,,delay,all,False,0,3,2018-01-01 07:15:41,atharno,-/-=-,-/-=-
53389,b36b508b_in,Delhi Fogged up on New Year Day; Flights and Trains Disrupted,,Others,Delhi ,delay,all,False,0,3,2018-01-01 07:42:49,atharno,-/-=-,-/-=-
53390,5ac2c044_in,"Railways recruitment: 2,22,159 vacant posts to be filled up this year: Apply Now",,Education,,delay,all,False,0,3,2018-01-01 07:53:21,atharno,-/-=-,-/-=-
53391,5bc5ef00_in,See Pics: Kareena Kapoor Khan looks SUPER HOT in this New Year party!,,News_Lifestyle,,delay,all,False,0,3,2018-01-01 07:55:25,atharno,-/-=-,-/-=-
53392,60623b3c_in,Wife के साथ न्यू ईयर सेलिब्रेट कर रहे भारतीय खिलाड़ियों की वायरल हुई नई तस्वीरें,,News_Sports.Cricket,,delay,all,False,0,3,2018-01-01 07:57:16,atharno,-/-=-,-/-=-
