id,entry_id,title,push_title,category,city,push_type,push_os,push_entire,test_mode,status,insert_time,operator,Receive/Send,Click/Show
374723,2192f13f_pk,Roznama Dunya: روزنامہ دنیا :- شہر کی دنیا:- ڈپٹی کمشنر،سی پی او کا دورہ گرودوارہ روہڑی صاحب,,News_Politics,,delay,all,False,0,3,2018-11-28 00:11:15,Ai_Heading,3816/3816=100%,70/3008=2.327%
374724,1a0ca215_pk,Roznama Dunya: روزنامہ دنیا :- شہر کی دنیا:- پھل فروش اور ریڑھی بان ٹھیکیدار کے خلاف سراپا احتجاج,,Others,,delay,all,False,0,3,2018-11-28 00:14:55,Ai_Heading,9490/20048=47.34%,174/6075=2.864%
374725,47d30282_pk,Roznama Dunya: روزنامہ دنیا :- شہر کی دنیا:-سکون کیلئے ذکر والوں کی محفل میں شریک ہوں،خواجہ طاہر,,Others,,delay,all,False,0,3,2018-11-28 00:18:36,Ai_Heading,10451/19855=52.64%,119/6966=1.708%
374726,746d6c6b_pk,Roznama Dunya: روزنامہ دنیا :- شہر کی دنیا:-نوجوان نوکری کی بجائے کاروبار کی طرف آئیں ‘ پروفیسر نواز,,News_Politics,,delay,all,False,0,3,2018-11-28 00:18:36,Ai_Heading,8811/19773=44.56%,160/5739=2.788%
374727,f0ae29db_pk,Roznama Dunya: روزنامہ دنیا :- شہر کی دنیا:-منہاج القرآن اسلامک اکیڈمی کے زیر اہتمام میلاد کانفرنس,,Others,,delay,all,False,0,3,2018-11-28 00:28:36,Ai_Heading,8851/15568=56.85%,141/6156=2.29%
374728,ce2a7c0e_bd,৩৬ বছর পর ইমরানের কীর্তি স্পর্শ ইয়াসির শাহ'র,,News_Sports,,delay,all,False,0,3,2018-11-28 00:38:37,Ai_Heading,230263/422767=54.47%,5645/167670=3.367%
374729,c4d15837_pk,Roznama Dunya: روزنامہ دنیا :- شہر کی دنیا:- بہترتعلیم و تربیت کیلئے کھیل انتہائی اہم ہیں:حاجی عاصم انیس,,News_Politics,,delay,all,False,0,3,2018-11-28 00:41:18,Ai_Heading,11700/26236=44.6%,166/7851=2.114%
374730,419b542f_pk,Roznama Dunya: روزنامہ دنیا :- شہر کی دنیا:-فلاحی اداروں کی سروسز مزید بہتر بنائیں گے ‘ اجمل چیمہ,,Others,,delay,all,False,0,3,2018-11-28 00:43:58,Ai_Heading,18670/24017=77.74%,164/7420=2.21%
374731,c915dd65_pk,Roznama Dunya: روزنامہ دنیا :- شہر کی دنیا:- مسائل کی اصل وجہ دین سے دوری ہے ، محمد حسین محنتی,,Others,,delay,all,False,0,3,2018-11-28 00:43:58,Ai_Heading,416/212820=0.1955%,19/399=4.762%
374732,73b07882_pk,Roznama Dunya: روزنامہ دنیا :- شہر کی دنیا:-سو دن کا جعلی انقلاب عوام کیلئے مصیبت لا یا ،مرتضیٰ وہاب,,News_Politics,,delay,all,False,0,3,2018-11-28 00:51:19,Ai_Heading,8144/19046=42.76%,127/5198=2.443%
374733,3643b898_pk,Roznama Dunya: کالم اور مضامین :- : نذیر ناجی :-کشمیر تا کرتار پور :,,News_Politics,,delay,all,False,0,3,2018-11-28 00:56:00,Ai_Heading,12149/29564=41.09%,237/7863=3.014%
374734,ea6911b2_pk,انڈین میڈیا جانتا ہے نفرت پھیلانے سے ریٹنگ ملتی ہے، بھارتی صحافی,,News_Politics,,delay,all,False,0,3,2018-11-28 00:59:40,Ai_Heading,134501/327884=41.02%,1762/82043=2.148%
